id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,omniuser_id,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,created_at,updated_at
11,10@test.jp,$2a$10$Uvy7sPNLIflcxrHQC3r3IeFCgOFsI63IQdwvZtZVqvKM677EoTNDW,,"","",1,2012-06-05 00:29:05 UTC,2012-06-05 00:29:05 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:29:05,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
12,11@test.jp,$2a$10$JyZDP4eQKVbU1c.id8EVjeNt2rx4Ja7nDCHPkZRxXUjZ7XpUv3d5O,,"","",1,2012-06-05 12:19:45 UTC,2012-06-05 12:19:45 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:19:45,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
13,12@test.jp,$2a$10$DgaxP/pLSCfusLa7rkeva.JinAyTz.7IFrnoK4lNwsmhYrkhlxcJ6,,"","",1,2012-06-05 12:20:03 UTC,2012-06-05 12:20:03 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:20:03,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
14,13@test.jp,$2a$10$5I215esVdz5Rk7XFfEAshOJCUhOeIBabRzsvIerphiMvXwkCooY1e,,"","",1,2012-06-05 12:20:19 UTC,2012-06-05 12:20:19 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:20:19,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
15,14@test.jp,$2a$10$nw5UlnIIAwt0yjrNqZRIx.I8TWLmAvojQ8M50TruTLP5X9ZJoMOYO,,"","",1,2012-06-05 12:20:38 UTC,2012-06-05 12:20:38 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:20:38,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
16,15@test.jp,$2a$10$Emds607SK8Nqy/GHGhQc3.rxIxi5RuUcbA8T.niDASYH.otqB2NLq,,"","",1,2012-06-05 12:20:55 UTC,2012-06-05 12:20:55 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:20:55,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
17,16@test.jp,$2a$10$KTYk/gT9Q3hPh9JsB8lLIuqhmytvlcE4Loj.aOSZ..tKBmA5Wy47m,,"","",1,2012-06-05 12:21:10 UTC,2012-06-05 12:21:10 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:21:10,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
18,17@test.jp,$2a$10$CE5/1Vh.sOYhU.FfVmMuKOMRHs8eSVaEkR6Rkc6T.7Wvzp/LTOB4O,,"","",1,2012-06-05 12:21:25 UTC,2012-06-05 12:21:25 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:21:25,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
19,18@test.jp,$2a$10$tVi2AOmf3R/5sOQ1QEooKu7tkP8OrboWeibdIXT2njJU3Im20X0yW,,"","",1,2012-06-05 12:21:39 UTC,2012-06-05 12:21:39 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:21:39,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
20,19@test.jp,$2a$10$gF4S79NeOlDt9YRt.ajPUO92i9p6JVSWRGqQppkiSFHixc32s5GcK,,"","",1,2012-06-05 12:21:55 UTC,2012-06-05 12:21:55 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:21:55,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
21,20@test.jp,$2a$10$2/SD3u6NuO6vtmx3hcT7WOSRuG30yOLUziyoZsjnIG7xHSM6kTO3G,,"","",1,2012-06-05 12:22:12 UTC,2012-06-05 12:22:12 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 12:22:12,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
